05:37:06.686 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gatk/gatk-package-4.2.6.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
05:37:06.798 INFO  BaseRecalibrator - ------------------------------------------------------------
05:37:06.798 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.2.6.1
05:37:06.798 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
05:37:06.799 INFO  BaseRecalibrator - Executing as raburajab@g-h-1-8-01 on Linux v4.18.0-305.3.1.el8_4.x86_64 amd64
05:37:06.799 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_242-8u242-b08-0ubuntu3~18.04-b08
05:37:06.799 INFO  BaseRecalibrator - Start Date/Time: July 24, 2024 5:37:06 AM GMT
05:37:06.799 INFO  BaseRecalibrator - ------------------------------------------------------------
05:37:06.799 INFO  BaseRecalibrator - ------------------------------------------------------------
05:37:06.799 INFO  BaseRecalibrator - HTSJDK Version: 2.24.1
05:37:06.799 INFO  BaseRecalibrator - Picard Version: 2.27.1
05:37:06.799 INFO  BaseRecalibrator - Built for Spark Version: 2.4.5
05:37:06.799 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
05:37:06.799 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
05:37:06.799 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
05:37:06.799 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
05:37:06.799 INFO  BaseRecalibrator - Deflater: IntelDeflater
05:37:06.799 INFO  BaseRecalibrator - Inflater: IntelInflater
05:37:06.799 INFO  BaseRecalibrator - GCS max retries/reopens: 20
05:37:06.800 INFO  BaseRecalibrator - Requester pays: disabled
05:37:06.800 INFO  BaseRecalibrator - Initializing engine
05:37:08.064 INFO  FeatureManager - Using codec VCFCodec to read file file:///coh_labs/dits/rayyan/reference_gatk/Homo_sapiens_assembly38.dbsnp138.vcf
05:37:08.187 INFO  FeatureManager - Using codec VCFCodec to read file file:///coh_labs/dits/rayyan/reference_gatk/Homo_sapiens_assembly38.known_indels.vcf.gz
05:37:08.295 INFO  FeatureManager - Using codec VCFCodec to read file file:///coh_labs/dits/rayyan/reference_gatk/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz
05:37:08.503 INFO  BaseRecalibrator - Done initializing engine
05:37:08.505 INFO  BaseRecalibrationEngine - The covariates being used here: 
05:37:08.506 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
05:37:08.506 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
05:37:08.506 INFO  BaseRecalibrationEngine - 	ContextCovariate
05:37:08.506 INFO  BaseRecalibrationEngine - 	CycleCovariate
05:37:08.557 INFO  ProgressMeter - Starting traversal
05:37:08.557 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
05:37:18.572 INFO  ProgressMeter -         chr1:3501865              0.2                641000        3840239.6
05:37:28.578 INFO  ProgressMeter -        chr1:11259312              0.3               1339000        4012786.6
05:37:38.585 INFO  ProgressMeter -        chr1:16241280              0.5               2040000        4076195.6
05:37:48.590 INFO  ProgressMeter -        chr1:19906532              0.7               2780000        4166562.6
05:37:58.596 INFO  ProgressMeter -        chr1:26361792              0.8               3479000        4171546.2
05:38:08.599 INFO  ProgressMeter -        chr1:32936840              1.0               4202000        4199060.7
05:38:18.609 INFO  ProgressMeter -        chr1:40066411              1.2               4949000        4238851.1
05:38:28.616 INFO  ProgressMeter -        chr1:46302451              1.3               5686000        4261357.2
05:38:38.664 INFO  ProgressMeter -        chr1:58048194              1.5               6370000        4241623.8
05:38:48.674 INFO  ProgressMeter -        chr1:77632717              1.7               6984000        4185503.0
05:38:58.683 INFO  ProgressMeter -        chr1:96483273              1.8               7654000        4170132.4
05:39:08.686 INFO  ProgressMeter -       chr1:112456164              2.0               8352000        4171515.6
05:39:18.689 INFO  ProgressMeter -       chr1:145873988              2.2               9096000        4193895.4
05:39:28.701 INFO  ProgressMeter -       chr1:152304609              2.3               9866000        4223971.2
05:39:38.706 INFO  ProgressMeter -       chr1:156048432              2.5              10675000        4265762.7
05:39:48.706 INFO  ProgressMeter -       chr1:160895830              2.7              11475000        4299121.4
05:39:58.706 INFO  ProgressMeter -       chr1:173679785              2.8              12193000        4299643.3
05:40:08.710 INFO  ProgressMeter -       chr1:186318473              3.0              12925000        4304674.4
05:40:18.711 INFO  ProgressMeter -       chr1:203175325              3.2              13581000        4285263.5
05:40:28.711 INFO  ProgressMeter -       chr1:212062953              3.3              14294000        4284900.6
05:40:38.735 INFO  ProgressMeter -       chr1:227310955              3.5              14998000        4281534.1
05:40:48.736 INFO  ProgressMeter -       chr1:237456669              3.7              15728000        4285967.3
05:40:58.744 INFO  ProgressMeter -         chr2:4462858              3.8              16392000        4272700.0
05:41:08.756 INFO  ProgressMeter -        chr2:25383722              4.0              17046000        4257987.2
05:41:18.760 INFO  ProgressMeter -        chr2:32916373              4.2              17807000        4270212.6
05:41:28.804 INFO  ProgressMeter -        chr2:49653812              4.3              18465000        4257109.6
05:41:38.813 INFO  ProgressMeter -        chr2:69643116              4.5              19129000        4246862.2
05:41:48.823 INFO  ProgressMeter -        chr2:84677181              4.7              19832000        4245680.9
05:41:58.830 INFO  ProgressMeter -        chr2:96869612              4.8              20592000        4256406.9
05:42:08.834 INFO  ProgressMeter -       chr2:108766375              5.0              21316000        4259281.5
05:42:18.839 INFO  ProgressMeter -       chr2:127289776              5.2              21971000        4248600.5
05:42:28.843 INFO  ProgressMeter -       chr2:140321939              5.3              22676000        4247953.4
05:42:38.849 INFO  ProgressMeter -       chr2:162344501              5.5              23324000        4236978.2
05:42:48.855 INFO  ProgressMeter -       chr2:177550651              5.7              24019000        4234935.3
05:42:58.859 INFO  ProgressMeter -       chr2:189575099              5.8              24749000        4239028.0
