[2024-08-16T18:07:59.979052Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Initiating pyFlow run
[2024-08-16T18:07:59.981005Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2024-08-16T18:07:59.981794Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pyFlowVersion: 1.1.20
[2024-08-16T18:07:59.982553Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pythonVersion: 2.7.12.final.0
[2024-08-16T18:07:59.983250Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] WorkingDir: '/coh_labs/dits/rayyan/Projects/GATK-pipeline/GATK_somatic'
[2024-08-16T18:07:59.983956Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] ProcessCmdLine: '/coh_labs/dits/rayyan/Data/C083-000002/AnalysisData_TumorDNA/runWorkflow.py --mode local --jobs 8'
[2024-08-16T18:07:59.984763Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] mode: local
[2024-08-16T18:07:59.985526Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] nCores: 8
[2024-08-16T18:07:59.986313Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] memMb: 515437
[2024-08-16T18:07:59.987026Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] dataDir: /coh_labs/dits/rayyan/Data/C083-000002/AnalysisData_TumorDNA/workspace/pyflow.data
[2024-08-16T18:07:59.987808Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2024-08-16T18:07:59.988580Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isContinue: False
[2024-08-16T18:07:59.989348Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2024-08-16T18:07:59.990129Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2024-08-16T18:07:59.991303Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2024-08-16T18:07:59.992280Z] [g-c-1-4-05.cm.cluster] [2114669_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: 2.9.10
[2024-08-16T18:07:59.993285Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_makeTmpDir' to master workflow
[2024-08-16T18:07:59.994358Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_makeTmpDir' to master workflow
[2024-08-16T18:07:59.995609Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_000_chr1' to master workflow
[2024-08-16T18:07:59.996527Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_makeTmpDir' from master workflow
[2024-08-16T18:07:59.997360Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_001_chr2' to master workflow
[2024-08-16T18:07:59.998285Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_002_chr3' to master workflow
[2024-08-16T18:07:59.999236Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_003_chr4' to master workflow
[2024-08-16T18:08:00.000238Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_004_chr5' to master workflow
[2024-08-16T18:08:00.001322Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_005_chr6' to master workflow
[2024-08-16T18:08:00.002257Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_006_chr7' to master workflow
[2024-08-16T18:08:00.004294Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_007_chr8' to master workflow
[2024-08-16T18:08:00.005380Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_makeTmpDir] Task initiated on local node
[2024-08-16T18:08:00.006113Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_008_chr9' to master workflow
[2024-08-16T18:08:00.007106Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_009_chr10' to master workflow
[2024-08-16T18:08:00.008099Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_010_chr11' to master workflow
[2024-08-16T18:08:00.009003Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_011_chr12' to master workflow
[2024-08-16T18:08:00.009979Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_012_chr13' to master workflow
[2024-08-16T18:08:00.010949Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_013_chr14' to master workflow
[2024-08-16T18:08:00.011791Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_014_chr15' to master workflow
[2024-08-16T18:08:00.012708Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_015_chr16' to master workflow
[2024-08-16T18:08:00.013744Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_016_chr17' to master workflow
[2024-08-16T18:08:00.014688Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_017_chr18' to master workflow
[2024-08-16T18:08:00.015817Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_018_chr19' to master workflow
[2024-08-16T18:08:00.016889Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_019_chr20' to master workflow
[2024-08-16T18:08:00.017955Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_020_chr21' to master workflow
[2024-08-16T18:08:00.019249Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_021_chr22' to master workflow
[2024-08-16T18:08:00.020273Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_022_chrX' to master workflow
[2024-08-16T18:08:00.021343Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_023_chrY' to master workflow
[2024-08-16T18:08:00.022712Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_024_chrM_to_025_chr1_KI270706v1_random' to master workflow
[2024-08-16T18:08:00.023850Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_026_chr1_KI270707v1_random_to_027_chr1_KI270708v1_random' to master workflow
[2024-08-16T18:08:00.024955Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_028_chr1_KI270709v1_random_to_030_chr1_KI270711v1_random' to master workflow
[2024-08-16T18:08:00.025896Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_031_chr1_KI270712v1_random' to master workflow
[2024-08-16T18:08:00.026810Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_032_chr1_KI270713v1_random_to_033_chr1_KI270714v1_random' to master workflow
[2024-08-16T18:08:00.027744Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_034_chr2_KI270715v1_random' to master workflow
[2024-08-16T18:08:00.028619Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_035_chr2_KI270716v1_random' to master workflow
[2024-08-16T18:08:00.029543Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_036_chr3_GL000221v1_random' to master workflow
[2024-08-16T18:08:00.030509Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_037_chr4_GL000008v2_random' to master workflow
[2024-08-16T18:08:00.031430Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_038_chr5_GL000208v1_random_to_040_chr9_KI270718v1_random' to master workflow
[2024-08-16T18:08:00.032302Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_041_chr9_KI270719v1_random' to master workflow
[2024-08-16T18:08:00.033198Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_042_chr9_KI270720v1_random_to_043_chr11_KI270721v1_random' to master workflow
[2024-08-16T18:08:00.034090Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_044_chr14_GL000009v2_random' to master workflow
[2024-08-16T18:08:00.034949Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_045_chr14_GL000225v1_random' to master workflow
[2024-08-16T18:08:00.035890Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_046_chr14_KI270722v1_random' to master workflow
[2024-08-16T18:08:00.036787Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_047_chr14_GL000194v1_random' to master workflow
[2024-08-16T18:08:00.037733Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_048_chr14_KI270723v1_random_to_049_chr14_KI270724v1_random' to master workflow
[2024-08-16T18:08:00.038604Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_050_chr14_KI270725v1_random' to master workflow
[2024-08-16T18:08:00.039436Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_051_chr14_KI270726v1_random' to master workflow
[2024-08-16T18:08:00.040483Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_052_chr15_KI270727v1_random' to master workflow
[2024-08-16T18:08:00.041425Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_053_chr16_KI270728v1_random' to master workflow
[2024-08-16T18:08:00.042317Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_054_chr17_GL000205v2_random' to master workflow
[2024-08-16T18:08:00.043270Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_055_chr17_KI270729v1_random' to master workflow
[2024-08-16T18:08:00.044052Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_056_chr17_KI270730v1_random' to master workflow
